rating,sdp_version,route_category,sdp_mode,sdp_route_desc,gtfs_route_type,gtfs_route_desc,ridership_season,ridership_mode,demographic_survey,demographic_mode
Fall 2018,2017,Light Rail,Rapid Transit,Rapid Transit,0,Rapid Transit,Fall 2018,Light Rail,CTPS 2015-2017,Rail Rapid Transit
Fall 2018,2017,Heavy Rail,Rapid Transit,Rapid Transit,1,Rapid Transit,Fall 2018,Heavy Rail,CTPS 2015-2017,Rail Rapid Transit
Fall 2018,2017,Commuter Rail,Commuter Rail,Commuter Rail,2,Commuter Rail,Spring 2018,Commuter Rail,CTPS 2015-2017,Commuter Rail
Fall 2018,2017,Key Bus,Bus,Key Bus,3,Key Bus,Fall 2018,Bus,CTPS 2015-2017,Bus
Fall 2018,2017,Silver Line,Bus,Key Bus,3,Key Bus,Fall 2018,Bus,CTPS 2015-2017,Silver Line
Fall 2018,2017,Community Bus,Bus,Community Bus,3,Community Bus,Fall 2018,Bus,CTPS 2015-2017,Bus
Fall 2018,2017,Commuter Bus,Bus,Commuter Bus,3,Commuter Bus,Fall 2018,Bus,CTPS 2015-2017,Bus
Fall 2018,2017,Local Bus,Bus,Local Bus,3,Local Bus,Fall 2018,Bus,CTPS 2015-2017,Bus
Fall 2018,2017,Supplemental Bus,Bus,Supplemental Bus,3,Supplemental Bus,Fall 2018,Bus,CTPS 2015-2017,Bus
Fall 2018,2021,Light Rail,Rapid Transit,Rapid Transit,0,Rapid Transit,Fall 2018,Light Rail,CTPS 2015-2017,Rail Rapid Transit
Fall 2018,2021,Heavy Rail,Rapid Transit,Rapid Transit,1,Rapid Transit,Fall 2018,Heavy Rail,CTPS 2015-2017,Rail Rapid Transit
Fall 2018,2021,Commuter Rail,Commuter Rail,Commuter Rail,2,Commuter Rail,Spring 2018,Commuter Rail,CTPS 2015-2017,Commuter Rail
Fall 2018,2021,Key Bus,Bus,Key Bus,3,Key Bus,Fall 2018,Bus,CTPS 2015-2017,Bus
Fall 2018,2021,Silver Line,Bus,Key Bus,3,Key Bus,Fall 2018,Bus,CTPS 2015-2017,Silver Line
Fall 2018,2021,Community Bus,Bus,Community Bus,3,Community Bus,Fall 2018,Bus,CTPS 2015-2017,Bus
Fall 2018,2021,Commuter Bus,Bus,Commuter Bus,3,Commuter Bus,Fall 2018,Bus,CTPS 2015-2017,Bus
Fall 2018,2021,Local Bus,Bus,Local Bus,3,Local Bus,Fall 2018,Bus,CTPS 2015-2017,Bus
Fall 2018,2021,Supplemental Bus,Bus,Supplemental Bus,3,Supplemental Bus,Fall 2018,Bus,CTPS 2015-2017,Bus
Fall 2018,2017,Ferry,Ferry,Ferry,4,Ferry,Fall 2019,Ferry,CTPS 2015-2017,Ferry
Fall 2018,2021,Ferry,Ferry,Ferry,4,Ferry,Fall 2019,Ferry,CTPS 2015-2017,Ferry
Fall 2019,2021,Light Rail,Rapid Transit,Rapid Transit,0,Rapid Transit,Fall 2019,Light Rail,CTPS 2015-2017,Rail Rapid Transit
Fall 2019,2021,Heavy Rail,Rapid Transit,Rapid Transit,1,Rapid Transit,Fall 2019,Heavy Rail,CTPS 2015-2017,Rail Rapid Transit
Fall 2019,2021,Commuter Rail,Commuter Rail,Commuter Rail,2,Commuter Rail,Spring 2018,Commuter Rail,CTPS 2015-2017,Commuter Rail
Fall 2019,2021,Key Bus,Bus,Key Bus,3,Key Bus,Fall 2019,Bus,CTPS 2015-2017,Bus
Fall 2019,2021,Silver Line,Bus,Key Bus,3,Key Bus,Fall 2019,Bus,CTPS 2015-2017,Silver Line
Fall 2019,2021,Community Bus,Bus,Community Bus,3,Community Bus,Fall 2019,Bus,CTPS 2015-2017,Bus
Fall 2019,2021,Commuter Bus,Bus,Commuter Bus,3,Commuter Bus,Fall 2019,Bus,CTPS 2015-2017,Bus
Fall 2019,2021,Local Bus,Bus,Local Bus,3,Local Bus,Fall 2019,Bus,CTPS 2015-2017,Bus
