sdp_version,sdp_route_id,gtfs_route_id
2017,1,1
2021,1,1
2017,4,4
2021,4,4
2017,5,5
2021,5,5
2017,7,7
2021,7,7
2017,8,8
2021,8,8
2017,9,9
2021,9,9
2017,10,10
2021,10,10
2017,11,11
2021,11,11
2017,14,14
2021,14,14
2017,15,15
2021,15,15
2017,16,16
2021,16,16
2017,17,17
2021,17,17
2017,18,18
2021,18,18
2017,19,19
2021,19,19
2017,21,21
2021,21,21
2017,22,22
2021,22,22
2017,23,23
2021,23,23
2017,24,24
2021,24,24
2017,24,2427
2021,24,2427
2017,26,26
2021,26,26
2017,27,27
2021,27,27
2017,27,2427
2021,27,2427
2017,28,28
2021,28,28
2017,29,29
2021,29,29
2017,30,30
2021,30,30
2017,31,31
2021,31,31
2017,32,32
2017,32,3233
2021,32,32
2021,32,3233
2017,33,33
2017,33,3233
2021,33,33
2021,33,3233
2017,35,35
2021,35,35
2017,36,36
2021,36,36
2017,37,37
2021,37,37
2017,38,38
2021,38,38
2017,39,39
2021,39,39
2017,40,40
2021,40,40
2017,41,41
2021,41,41
2017,42,42
2021,42,42
2017,43,43
2021,43,43
2017,44,44
2021,44,44
2017,45,45
2021,45,45
2017,47,47
2021,47,47
2017,50,50
2021,50,50
2017,51,51
2021,51,51
2017,52,52
2021,52,52
2017,55,55
2021,55,55
2017,59,59
2021,59,59
2017,60,60
2021,60,60
2017,62,62
2017,62,627
2021,62,62
2021,62,627
2017,64,64
2021,64,64
2017,65,65
2021,65,65
2017,66,66
2021,66,66
2017,67,67
2021,67,67
2017,68,68
2021,68,68
2017,69,69
2021,69,69
2017,71,71
2021,71,71
2017,72,72
2017,72,725
2021,72,72
2021,72,725
2017,73,73
2021,73,73
2017,74,74
2021,74,74
2017,75,75
2017,75,725
2021,75,75
2021,75,725
2017,76,76
2017,76,627
2021,76,76
2021,76,627
2017,77,77
2021,77,77
2017,78,78
2021,78,78
2017,79,79
2021,79,79
2017,80,80
2021,80,80
2017,83,83
2021,83,83
2017,84,84
2021,84,84
2017,85,85
2021,85,85
2017,86,86
2021,86,86
2017,87,87
2021,87,87
2017,88,88
2021,88,88
2017,89,89
2017,89,8993
2021,89,89
2021,89,8993
2017,90,90
2021,90,90
2017,91,91
2021,91,91
2017,92,92
2021,92,92
2017,93,93
2017,93,8993
2021,93,93
2021,93,8993
2017,94,94
2021,94,94
2017,95,95
2021,95,95
2017,96,96
2021,96,96
2017,97,97
2021,97,97
2017,99,99
2021,99,99
2017,100,100
2021,100,100
2017,101,101
2021,101,101
2017,104,104
2021,104,104
2017,105,105
2021,105,105
2017,106,106
2021,106,106
2017,108,108
2021,108,108
2017,109,109
2021,109,109
2017,110,110
2021,110,110
2017,111,111
2021,111,111
2017,112,112
2021,112,112
2017,119,119
2021,119,119
2017,120,120
2021,120,120
2017,121,121
2021,121,121
2017,131,131
2021,131,131
2017,132,132
2021,132,132
2017,134,134
2021,134,134
2017,136137,136
2021,136137,136
2017,136137,137
2021,136137,137
2017,170,170
2021,170,170
2017,171,171
2021,171,171
2017,195,195
2021,195,195
2017,210,210
2021,210,210
2017,211,211
2021,211,211
2017,212,212
2021,212,212
2017,214,214
2017,214,214216
2021,214,214
2021,214,214216
2017,215,215
2021,215,215
2017,216,216
2017,216,214216
2021,216,216
2021,216,214216
2017,217,217
2021,217,217
2017,220,220
2021,220,220
2017,221,221
2021,221,221
2017,222,222
2021,222,222
2017,225,225
2021,225,225
2017,230,230
2021,230,230
2017,236,236
2021,236,236
2017,238,238
2021,238,238
2017,240,240
2021,240,240
2017,245,245
2021,245,245
2017,325,325
2021,325,325
2017,326,326
2021,326,326
2017,350,350
2021,350,350
2017,351,351
2021,351,351
2017,352354,352
2021,352354,352
2017,352354,354
2021,352354,354
2017,411,411
2021,411,411
2017,424,424
2021,424,424
2017,426,426
2021,426,426
2017,428,428
2021,428,428
2017,429,429
2021,429,429
2017,430,430
2021,430,430
2017,434,434
2021,434,434
2017,435,435
2021,435,435
2017,436,436
2021,436,436
2017,439,439
2021,439,439
2017,441442,441
2017,441442,441442
2017,441442,442
2021,441442,441
2021,441442,441442
2021,441442,442
2017,448449,448
2021,448449,448
2017,448449,449
2021,448449,449
2017,450,450
2021,450,450
2017,451,451
2021,451,451
2017,455,455
2021,455,455
2017,456,456
2021,456,456
2017,459,459
2021,459,459
2017,465,465
2021,465,465
2017,501,501
2021,501,501
2017,502,502
2021,502,502
2017,503,503
2021,503,503
2017,504,504
2021,504,504
2017,505,505
2021,505,505
2017,553,553
2021,553,553
2017,554,554
2021,554,554
2017,556,556
2021,556,556
2017,558,558
2021,558,558
2017,710,710
2021,710,710
2017,714,714
2021,714,714
2017,716,716
2021,716,716
2017,9701,9701
2021,9701,9701
2017,9702,9702
2021,9702,9702
2017,9703,9703
2021,9703,9703
2017,114116117,114
2021,114116117,114
2017,114116117,116
2017,114116117,117
2017,114116117,116117
2021,114116117,116
2021,114116117,117
2021,114116117,116117
2017,201202,201
2017,201202,202
2021,201202,201
2021,201202,202
2017,712713,712
2017,712713,713
2021,712713,712
2021,712713,713
2017,3434E,34
2017,3434E,34E
2021,3434E,34
2021,3434E,34E
2017,5757A,57
2017,5757A,57A
2021,5757A,57
2021,5757A,57A
2017,7070A,70
2017,7070A,70A
2021,7070A,70
2021,7070A,70A
2017,Blue,Blue
2021,Blue,Blue
2017,Boat-F1,Boat-F1
2021,Boat-F1,Boat-F1
2017,Boat-F4,Boat-F4
2021,Boat-F4,Boat-F4
