"season","mode","route_or_line","daytype","direction","timeperiod_id","avg_weekday","precision","source"
"Fall 2018","Bus","1","Weekday",0,2,"843.8400000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",0,1,"308.1600000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",0,6,"869.4400000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",0,7,"241.6000000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",0,3,"1357.0000000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",0,4,"1003.2400000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",0,8,"27.9200000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",0,5,"1367.6200000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",0,0,"139.8000000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",1,2,"965.7700000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",1,1,"259.5000000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",1,6,"810.0400000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",1,7,"231.1200000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",1,3,"1250.2000000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",1,4,"975.0000000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",1,8,"56.4600000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",1,5,"1059.1200000000","High","APC Composite Day"
"Fall 2018","Bus","1","Weekday",1,0,"68.4600000000","High","APC Composite Day"
"Fall 2018","Bus","4","Weekday",0,2,"31.1400000000","High","APC Composite Day"
"Fall 2018","Bus","4","Weekday",0,1,"9.5100000000","High","APC Composite Day"
"Fall 2018","Bus","4","Weekday",0,4,"18.8000000000","High","APC Composite Day"
"Fall 2018","Bus","4","Weekday",0,5,"103.8600000000","High","APC Composite Day"
"Fall 2018","Bus","4","Weekday",1,2,"164.2200000000","High","APC Composite Day"
"Fall 2018","Bus","4","Weekday",1,1,"3.8000000000","High","APC Composite Day"
"Fall 2018","Bus","4","Weekday",1,3,"17.8000000000","High","APC Composite Day"
"Fall 2018","Bus","4","Weekday",1,4,"4.0000000000","High","APC Composite Day"
"Fall 2018","Bus","4","Weekday",1,5,"18.6200000000","High","APC Composite Day"
"Fall 2018","Bus","5","Weekday",0,3,"32.7200000000","High","APC Composite Day"
"Fall 2018","Bus","5","Weekday",0,4,"13.5000000000","High","APC Composite Day"
